Longitude E,Latitude N,UTC Time,Date,CO2 ppm,SO2 ppm,Temperature °,Relative Humidity,MC1.0 #/cm^3,MC2.5 #/cm^3,MC4.0 #/cm^3,MC10.0 #/cm^3,NC0.5 #/cm^3,NC1.0 #/cm^3,NC2.5 #/cm^3,NC4.0 #/cm^3,NC10.0 #/cm^3,Typical Particle Size
0,0,0,0,423.128906,0,39.045929,54.632568,11.010815,11.643517,11.643513,11.643513,76.482018,87.692474,87.875603,87.896713,87.911087,0.381973
0,0,4,0,462.256714,143,39.019226,53.048706,10.913622,11.54074,11.540736,11.540736,75.806915,86.918419,87.09993,87.12085,87.135094,0.385891
0,0,8,0,444.84491,0,39.045929,52.786255,11.074492,11.710855,11.71085,11.71085,76.924332,88.199623,88.383812,88.405037,88.419495,0.393003
0,0,12,0,437.936462,79,39.187454,51.490784,20.569899,21.751884,21.751877,21.751877,142.880188,163.823059,164.165176,164.204605,164.231445,0.407045
0,0,16,0,479.324493,108,38.733498,51.289368,14.180953,14.995818,14.995813,14.995813,98.50206,112.94014,113.175995,113.203178,113.221687,0.413906
0,0,20,0,540.906067,19,38.405052,51.972961,12.314537,13.022154,13.02215,13.02215,85.537781,98.075607,98.280418,98.304024,98.320091,0.414413
0,0,24,0,560.309692,0,38.164719,52.824402,11.351082,12.003336,12.003332,12.003332,78.845543,90.402435,90.591225,90.612984,90.6278,0.411893
0,0,28,0,542.710999,171,37.908371,53.817749,10.876905,11.501913,11.501909,11.501909,75.55188,86.625999,86.8069,86.827751,86.841949,0.41389
0,0,32,0,556.073242,121,37.822922,54.077148,10.533048,11.138297,11.138293,11.138293,73.163414,83.887444,84.062622,84.082809,84.096565,0.409381
0,0,36,0,550.497253,34,37.766846,54.270935,10.293886,10.885392,10.885388,10.885388,71.502174,81.982704,82.153908,82.173637,82.18708,0.410005
0,0,40,0,586.102112,407,37.668037,54.417419,12.740829,13.47294,13.472936,13.472936,88.498833,101.47068,101.682579,101.707001,101.723633,0.408945
0,0,44,0,515.309143,121,37.513161,54.891968,12.250731,12.95468,12.954677,12.954677,85.094574,97.567429,97.771179,97.794662,97.810654,0.407057
0,0,48,0,595.811646,65,37.339592,55.305481,11.946356,12.632816,12.632812,12.632812,82.980362,95.143326,95.342018,95.364914,95.380508,0.406907
0,0,52,0,662.620361,0,37.368965,55.633545,11.774291,12.450865,12.45086,12.45086,81.785187,93.772972,93.968796,93.991364,94.006737,0.404316
0,0,56,0,677.646729,309,36.816208,56.118774,11.614459,12.281848,12.281844,12.281844,80.67498,92.500031,92.693199,92.715462,92.730621,0.404363
0,0,60,0,517.83551,127,36.760132,56.819153,11.259573,11.906569,11.906566,11.906566,78.209915,89.673645,89.860909,89.882492,89.897186,0.402166
0,0,64,0,584.577332,50,36.618599,57.171631,11.00383,11.636131,11.636127,11.636127,76.433502,87.636856,87.81987,87.840958,87.855324,0.403682
0,0,68,0,583.734131,0,36.618599,57.685852,10.77639,11.395621,11.395617,11.395617,74.853683,85.82547,86.0047,86.025352,86.039421,0.400044
0,0,72,0,617.903381,182,36.132599,58.947754,10.77452,11.393644,11.393641,11.393641,74.840698,85.810577,85.989777,86.010429,86.02449,0.39897
0,0,76,0,525.827271,38,36.017776,59.272766,10.560855,11.167702,11.167698,11.167698,73.35656,84.108902,84.284546,84.304787,84.318573,0.400286
0,0,80,0,375.055023,40,36.033798,58.631897,10.420794,11.019593,11.019589,11.019589,72.38369,82.993431,83.166748,83.186722,83.200325,0.402936
0,0,84,0,349.34198,321,36.132599,58.143616,10.418248,11.0169,11.016896,11.016896,72.365997,82.973152,83.146423,83.166389,83.179993,0.395251
0,0,88,0,207.552277,160,36.332878,57.71637,10.522747,11.127404,11.1274,11.1274,73.091866,83.805405,83.980415,84.000587,84.01432,0.394325
0,0,92,0,195.165741,24,36.458382,58.27179,10.489985,11.092759,11.092755,11.092755,72.864288,83.544472,83.718941,83.739044,83.752739,0.393917
0,0,96,0,40.483303,0,36.760132,58.052063,10.270741,10.860917,10.860913,10.860913,71.3414,81.79837,81.969193,81.988876,82.002281,0.393189
0,0,100,0,36.917828,291,37.040512,56.1203,10.321445,10.914536,10.914532,10.914532,71.693604,82.202194,82.373856,82.393639,82.407112,0.390603
0,0,104,0,99.439293,89,37.027161,55.26886,10.496881,11.100053,11.100049,11.100049,72.912201,83.599411,83.773987,83.794106,83.807808,0.394054
0,0,108,0,147.499557,31,37.101929,54.80957,10.80721,11.428213,11.428208,11.428208,75.067764,86.070923,86.250671,86.271385,86.285492,0.399974
0,0,112,0,64.305084,0,37.184708,54.594421,11.083516,11.720396,11.720392,11.720392,76.987007,88.271492,88.455826,88.477074,88.491539,0.396504
0,0,116,0,199.649551,181,37.481117,53.884888,11.372474,12.025957,12.025953,12.025953,78.994133,90.572807,90.761948,90.783745,90.798592,0.395693
0,0,120,0,170.937775,106,37.641335,53.547668,11.406824,12.062282,12.062278,12.062278,79.232735,90.846382,91.036095,91.057961,91.072853,0.392109
0,0,124,0,150.293793,58,37.753494,53.286743,11.435046,12.092126,12.092122,12.092122,79.428772,91.071152,91.261337,91.283257,91.29818,0.387889
0,0,128,0,166.611282,392,37.881668,53.373718,11.476929,12.136415,12.13641,12.13641,79.719681,91.404709,91.595589,91.617584,91.632568,0.386613
0,0,132,0,300.225189,136,37.740135,53.55072,11.561145,12.22547,12.225466,12.225466,80.304657,92.075424,92.267708,92.289864,92.304955,0.393278
0,0,136,0,236.79007,81,37.865646,53.742981,11.797122,12.475008,12.475003,12.475003,81.943779,93.954803,94.151009,94.173622,94.189018,0.393753
0,0,140,0,174.627304,0,38.151367,53.726196,12.113045,12.809084,12.809079,12.809079,84.138199,96.470879,96.672333,96.695557,96.711365,0.398595
0,0,144,0,652.201721,277,38.138016,53.829956,12.183025,12.883085,12.88308,12.88308,84.62429,97.028214,97.230843,97.254196,97.270096,0.407489
0,0,148,0,686.043518,84,38.08194,53.88031,12.058709,12.751626,12.751621,12.751621,83.76078,96.038139,96.238693,96.26181,96.27755,0.409349
0,0,152,0,726.759033,0,38.052567,53.492737,11.982244,12.670767,12.670763,12.670763,83.229652,95.429153,95.628441,95.651405,95.667046,0.405104
0,0,156,0,775.585815,0,37.983139,53.236389,20.66091,21.848125,21.848118,21.848118,143.512375,164.547897,164.891525,164.931137,164.958099,0.4195
0,0,160,0,507.464478,202,37.881668,53.35083,16.347115,17.286451,17.286446,17.286446,113.548393,130.19191,130.463791,130.495132,130.516464,0.413055
0,0,164,0,667.131897,104,37.740135,53.610229,14.768777,15.617419,15.617414,15.617414,102.585136,117.621696,117.867325,117.89563,117.914909,0.409767
0,0,168,0,554.808777,40,37.80957,53.804016,13.744904,14.534712,14.534707,14.534707,95.473228,109.467346,109.695946,109.722298,109.740234,0.409414
0,0,172,0,587.035767,247,37.852295,53.729248,13.251943,14.013424,14.013419,14.013419,92.049072,105.541298,105.761696,105.787102,105.804398,0.407119
0,0,176,0,308.669891,120,38.2929,53.340149,12.780401,13.514788,13.514783,13.514783,88.773712,101.785843,101.998405,102.022896,102.039581,0.400692
0,0,180,0,0,67,38.493172,53.427124,12.393054,13.105183,13.105178,13.105178,86.083168,98.700928,98.907043,98.930801,98.946976,0.395901
0,0,184,0,289.340393,0,38.605324,53.712463,22.866688,24.180651,24.180643,24.180643,158.833878,182.115189,182.495499,182.539322,182.569168,0.418298
